airline_name,content,airport,overall_rating,comfort_rating,cleanliness_rating,bar_beverages_rating,catering_rating,washrooms_rating,wifi_connectivity_rating,staff_service_rating,recommended
Air Canada,The Maple Leaf Lounge in the International Section of Terminal 1 at Toronto's Pearson Airport is a pleasant lounge with lots of seating. The lounge has a good selection of drinks but the food selection is much less than what one gets in Europe or Asia. I was in the lounge in the evening (after 8:00pm) and they had noodles and a cold salad. They may have had soup as well. Cookies were available. The beverage supply is large and self serve. There are three Air Canada (Maple Leaf) Lounges at Toronto's Pearson Airport Terminal 1 one domestic one International and one for flights to the U.S. This review is for the international lounge which is used for Air Canada and Star Alliance members. In terms of layout and aesthetics this is a very pleasant lounge. It has a business area lots of seating showers and eating areas with big screen tvs. The newspaper and magazibne supply is huge The airport has free wifi; I'm not sure if the lounge has separate wifi. Most of the staff seem to be there to clean up rather than to help customers but the lounge is kept clean and front desk staff are fine. The view of the planes from this lounge is limited but it is a nice place to relax.,Toronto Pearson Airport,4.0,4,4,5.0,3.0,4.0,4.0,3.0,yes
Air Canada,"Have visited this lounge in the ""rock wall"" in the domestic area several times over the past few years this visit in March 2014 I noticed that the food selection had improved. I was there at 8am on a Friday morning for 1.5 hrs and aside from the usual cold cereal hot oatmeal make your own toast small muffins/pastries and fruit there was a covered hot container with small omelets hash browns and large home fries. The coffee machines are wonderful offering mochas  lattes cappuccinos etc. Also hot chocolate. The serving dishes were kept filled and there was someone going around picking up used plates/cups etc frequently. The lounge seemed very clean as well as the women's washroom. The lounge is large and was about 1/4-1/3 full all the time I was there. Good selection of newspapers and lots of different magazines. Wifi seemed to work fine the little I used it. Great view of the continuous action out on the tarmac!",Vancouver Airport,5.0,5,5,5.0,5.0,5.0,4.0,5.0,yes
Air Canada,I have a Priority Pass and on my way from CPT to BOS via LHR I had about 5 hours to kill. I thought I would use the lounge airside but after a 12 hour flight I wanted a shower and a light breakfast. This Air Canada Arrivals was heaven sent. It is just outside the arrivals hall to the left. Please watch out for signs because it is quite tricky to find. Once you are there the small but cosy lounge welcomes you with open arms. Good hot and cold food plus good coffee or tea a shower (very refreshing) and comfortable seats. Small if the place is crowded but at 8am it was very quiet.,London Heathrow Airport,5.0,5,5,5.0,5.0,5.0,5.0,5.0,yes
Air Canada,My first experience of YYZ's T1 Domestic lounge got off to a bad start as the agent at the desk was engaged in a scintillating conversation with another agent regarding the closest gas stations to their homes. She never made eye contact offered any sort of welcome and simply handed back my boarding pass without so much as a thank you. Thanks Air Canada for making me feel like a valued customer! The lounge itself is attractive well groomed has ample seating and moderately appealing food choices. A far cry from the catering one would find in Star Alliance lounges in Europe or Asia but not bad by North American (United for example) standards.,Toronto Pearson Airport,3.0,4,5,3.0,3.0,4.0,3.0,1.0,yes
Air Canada,Wow a bad terminal in a horrible airport with a terrible lounge. Small poor food poor seating tiny and overall as far as international lounges a real disappointment. The Starbucks on main level is much better.,Los Angeles Lax Airport,2.0,2,2,2.0,2.0,2.0,2.0,3.0,no
Air Canada,The quality of internet access that the lounge offers is a joke. They expect Star Alliance Gold customers to pay $3.99 to use the internet because the free service they offer cannot even open basic websites. What's more embarrassing is that the free service offered by Vancouver airport is much faster and doesn't cripple your access to web services. Other Star Alliance members should return the favour for Air Canada visitors to their lounges. In a world where bandwidth has become as cheap as water it is ridiculous that Air Canada can get away with fleecing other Star Alliance customers.,Vancouver Airport,3.0,4,3,4.0,3.0,2.0,1.0,4.0,no
Air Canada,Arriving in Toronto at about 1.00pm we had a very long layover since the departure to CPH was at 21.05. The lounge was ok but the food choices and quality were very disappointing. Sort of dry boring sandwiches and three different warm dishes - all tasteless. If we should have waiting time at Toronto airport another day we rather pay for food in one of the eating places in the terminal than eating in the lounge. For a business class lounge of a 4 star airline the food is not adequate and compared to Scandinavian Airlines lounge in Copenhagen and Chicago it's poor. Even the TAP lounge at Lisbon airport has better food quality.,Toronto Pearson Airport,3.0,4,4,3.0,1.0,3.0,3.0,4.0,no
Air Canada,Nice lounge quiet and good internet  but needs to have dirty dishes picked up more often. Also their food offerings are poor. empty wine bottles and no staff to ask for assistance. Chips and hummus you need to scrape the bowl for. They need more staff and replace items more often. I still recommend it but if you need food go get it somewhere else first.,Ottawa Airport,3.0,5,2,3.0,1.0,4.0,5.0,1.0,yes
Air Canada,The lounge was physically fine but the snacks/food offerings were pathetic. A few applies and bananas sliced white bread for toast and pitchers of juice. I ended up with cereal and milk and thinking that there was great food for people flying coach right outside the doors. Also even with a sparsely populated lounge there was a line for the mens room because the mens room must apparently only cater to one person at a time.,Vancouver Airport,2.0,4,5,1.0,2.0,3.0,0.0,0.0,no
Air Canada,I was surprised by the selection of quality food and alcoholic beverages. Being US-based I was able to compare the many differences between the US airline lounges with the quality of Air Canada. Maple Leaf Lounges are definitely the benchmark for other North American Airlines.,Montréal Airport,5.0,4,5,5.0,5.0,4.0,5.0,5.0,yes
Air Canada,"I used the lounge on 22nd December 2012 at around 8AM. The staff at the welcome desk worked very hard to solve a very tricky problem. Their knowledge and level of care was absolutely great. They solved a problem which could have ruined our long planned holiday. I was very impressed and thankful. If there would be a possibility to rate the level of ""Standard of Staff Service"" better then Excellent - I would do so. The Transborder Maple Leaf Lounge at Terminal 1 Toronto Airport was exceptional due to the superior staff.",Toronto Pearson Airport,3.0,4,4,4.0,3.0,4.0,0.0,5.0,yes
Air Canada,This is a great place to be 2 hours before your flight very quiet not around a lot of people. Many drink choices band a lot of food choices very comfortable and relaxing.,Montréal Airport,4.0,5,5,4.0,4.0,4.0,4.0,4.0,yes
Air Canada,The lounge near the rock wall was the one I enjoyed the most. Wonderful selection of drinks food selection decent but only light foods. WiFi was excellent.,Vancouver Airport,4.0,4,4,5.0,4.0,3.0,5.0,3.0,yes
Air Canada,Quiet peaceful and comfortable place to sit. Have never experienced it to be too busy. The decor is new and it is always kept clean. Food area has lots of space and selection is the best I have experienced of any North American airport. Despite all of the shortcomings of this airport the Maple Leaf Lounges here are by far the best experience.,Toronto Pearson Airport,5.0,5,5,4.0,4.0,5.0,4.0,5.0,yes
Air Canada,Dirty no food selection crowded with no place to sit. Unappealing decor. Stayed 15 minutes and then left to sit in the public area.,Montréal Airport,1.0,1,2,2.0,1.0,1.0,1.0,2.0,no
Air Canada,Nice looking large lounge with comfortable seating. Nice greeting on entering. Very good selection of drinks but food options limited and poor. Carrot and celery sticks and mountains of crackers. Only hot option was an unappealing soup and this was at dinner time.,Vancouver Airport,4.0,4,4,5.0,1.0,4.0,3.0,4.0,no
Air Canada,We went to this lounge first thing in the morning because we had an early flight. The are supposed to open at 5:00 am and the door was still locked and the lights off when we arrived. We were let in about 10 minutes after and the girl was just putting things out. There really wasn't a big selection of food. There was tea coffee juice and she put out bread for toast terribly sweet muffins (in packages) and flavoured bagels none plain. There was also cereal. That was about it. I would not want to go there again. The lounge seemed old and in need of an update.,Los Angeles Lax Airport,3.0,3,4,2.0,2.0,1.0,4.0,3.0,no
Air Canada,Way too crowded! The place was packed at 4:30 and stayed that way when we left at 6:00. Two planes including ours had slight delays. The food selection was nice especially the Thai soup. Because it was so busy the cleaning staff had a lot of work and empty dishes sat for 20-30 minutes. There didn't seem to be a place for us to drop off our used plates. Good selection of magazines and newspapers.,Calgary Airport,4.0,4,3,4.0,4.0,5.0,4.0,5.0,yes
Air Canada,A very disappointing lounge which I have used several times for the past four years. Nothing much has changed in the period. Granted is a domestic terminal lounge but given the number of people who use it it is far too small. There are many international passengers who connect at YVR but there is not even a shower for people to freshen up after a 10+hr flight! There is no separate area for people who want to take a rest and because of the large number of people present it is very crowded and noisy-- not much different from the terminal building itself. Food is pretty average and always the same salad and soup options (but nothing vegetarian!).,Vancouver Airport,3.0,3,3,3.0,3.0,3.0,1.0,3.0,no
Air Canada,Very spacious lounge with lots of comfortable seating and pleasant ambiance. Good selection of drinks snacks vegetables and dips. I've only used it in the evening when they also offer good pasta dishes and some salads. Staff is friendly. Only critique is that internet connection is often rather slow.,Toronto Pearson Airport,4.0,5,5,5.0,4.0,5.0,3.0,4.0,yes
Air Canada,This lounge is big and well designed. Business centre with printing. Great selection of food snacks and drinks. Comfortable leather chair with foot rest in a mood room makes you a little too relaxed! I wish they had dedicated wifi for the lounge rather than using the general airport wifi which is fine but slow. Boarding announcements in a non intrusive way. For me this is the best AC lounge.,Toronto Pearson Airport,4.0,5,5,4.0,4.0,5.0,3.0,4.0,yes
Air Canada,Excellent Lounge for North American standards. Drink selection very good food is usually rather light (salads and soups) but good. The weak point is the breakfast which is just cereals muffins and toast without any cheese ham or similar. They have an espresso / cappuccino machine producing excellent coffee. Free internet connection fast for Air Canada Elites usually works well unless the lounge is packed which can happen during peak hours.,Vancouver Airport,5.0,5,5,5.0,4.0,4.0,4.0,5.0,yes
Air Canada,Very old school menu hasn't been updated in God knows how long. The dishwasher broke so plastic utensils styrofoam cups and plates were used instead. Despite there being 2 other lounges in the airport to bring equipment from. Air Canada service continues to crumble.,Toronto Pearson Airport,2.0,2,3,1.0,1.0,2.0,1.0,1.0,no
Air Canada,When YVR was a single terminal airport the Maple Leaf Lounges were larger; now there are three (domestic US/transborder international) and I was in the transborder lounge on this trip. Access up one floor in an elevator. Amenities are self serve but more generous and much tidier than Continental or United Airlines lounges. Comfortable seats and workstations. Limited snack buffet is well-attended to. Staff keeping things in order. Wifi the new system where some lounge users get (ostensibly) faster wifi access is silly. It was better when you could just boot up your machine tick the box and get on with things. Overall YYZ lounge is bigger. YYC is grottier. YHZ is tiny. YOW' is probably the nicest (but busiest). On balance I'll take ANY of the YVR lounges thanks.,Vancouver Airport,4.0,4,5,4.0,3.0,5.0,3.0,4.0,no
Air Canada,I have used this lounge many times and love it. Spacious and modern with nice touches like original glass sculpture in the bathrooms and light but good food choices and self serve bar. A world apart from any US airline lounge I have been to where food means pre-packaged tasteless cookies and a pay bar.,Toronto Pearson Airport,4.0,4,4,4.0,4.0,3.0,2.0,4.0,no
Air France,"This was a Priority pass lounge - not Air France! Comfortable enough but the food offerings here are as basic as you can get. A couple of ordinary sandwiches, some fruit and one type of a small maderia cake. The staff weren't in any rush to replenish either. Lazy lounge. Food and service.",Los Angeles Lax Airport,3.0,3,4,1.0,1.0,3.0,3.0,2.0,no
Air Canada,This lounge is a complete joke - cramped poor food selection beyond carrot sticks tomatoes soup and stale looking bread. Some breakfast snack items are ok. Can mix your own drink - oh joy. Coffee and cappuccino is fair. Looks dated and worn. Staff moderately helpful. Embarrassing (my home airport) when compared to other airports around the world.,Vancouver Airport,3.0,3,2,3.0,2.0,3.0,3.0,3.0,no
Air Canada,A disgrace there is no plausible reason to use this facility. The coffee is terrible food non-existent no showers apparently domestic has this for some reason and average business facilities. Staff at reception are friendly enough but that appears to be the limit of the hospitality. Wifi is now pointless as you can easily source it from many different services within the airport.,Vancouver Airport,2.0,3,3,1.0,1.0,1.0,1.0,1.0,no
Air France,Spacious and quiet lounge with a wide range of quality food and alcohol including champagne. Enjoyable experience. Friendly staff.,Paris CDG Airport,5.0,4,5,5.0,5.0,4.0,4.0,5.0,yes
Air France,Nobody at CDG airport seems to know where the AF arrival lounge is - they made my walk around for nearly one hour with plenty of luggage and I was unable to find. No signs anywhere.,Paris CDG Airport,1.0,1,1,1.0,1.0,1.0,1.0,1.0,no
Air France,One of the best lounges I have experienced. There are enough showers rooms. This is valuable as I usually come in this lounge before (or after) a 12-hour flight. I would have rated it 5* but the buffet especially drinks is a little bit skimpy.,Seoul Incheon Airport,4.0,5,5,1.0,2.0,5.0,5.0,5.0,yes
Air Canada,All Maple Leaf Lounges at Trudeau are appalling. Domestic is old and cold and needs a refit and the other lounges are a mess newspapers and used plates and wineglasses just left. I broke my rule and connected through Montreal yesterday. Considering the new Terminal One at Pearson is such a nice experience Montreal Trudeau is a disgrace.,Montréal Airport,2.0,1,1,3.0,2.0,2.0,1.0,3.0,no
Air Canada,The lounge is within the acceptable range variety of food were served but some of them were poor in taste. The shower facility was very limited only 2 showers were provided and passenger need to ask the lounge staff to unlock the shower door. WI-FI and high-speed internet connection were provided computers and business facility were also available. Chairs were comfortable and few of them were recliners. Overall speaking the lounge is still fair but not the best one I've been to.,Toronto Pearson Airport,3.0,3,4,3.0,3.0,1.0,5.0,4.0,no
Air Canada,"The Maple Leaf lounge has been a very good ""office away from the office"" facility including free wifi a bowl of hot soup and the like. In a recent fit of penny-pinching Air Canada has started demanding that users purchase internet access using a credit card. It is not a huge sum - $10.00 - just enough annoy you especially when you know that you will have a fight with the accountants to claim it back. I sure hope that the pennies they accumulate from this change offset the costs associated with customer dissatisfaction.",Montréal Airport,2.0,3,2,2.0,1.0,1.0,0.0,2.0,no
Air France,It's worth noting that it very much depends on the terminal; typically if you are in 2E and 2F it's good level of lounge with showers fresh food coffee/ tea internet and power - all a business traveller wants. If you go to a lesser terminal 2D for example there really is nothing more than a seat coffee and power. It's worth noting that if you do have a long haul flight and you arrive before 2pm you can use the lounge in the arrivals area of 2C.. this has around 6 showers and the usual... not the most comfortable but the staff are polite and it's a hell of allot better waiting for your TGV (Train) in here after a shower.,Paris CDG Airport,2.0,3,3,3.0,2.0,1.0,2.0,3.0,no
Air France,This is a sorry excuse for a lounge. Drinks are plentiful but there was 1 sandwich when I walked in and an hour later still 1 sandwich. There were no plugs to recharge electronics and when I asked they directed me to unplug a lamp and use the socket! This is Air France's home country and this lounge is the best they've got? Quite sad as it is no better than a waiting room.,Paris CDG Airport,2.0,2,3,1.0,1.0,1.0,3.0,1.0,no
Air Canada,This place hasn't changed for years. Shower rooms are large and clean but had a really bad smell - like the sewer had backed up. The staff are welcoming but if I hadn't arrived so early and knew that my hotel room would not be ready I think I would just go straight to the hotel. Food offerings really limited in a small crowded room.,London Heathrow Airport,3.0,4,4,3.0,3.0,3.0,0.0,4.0,no
Air Canada,One of the nicest lounges I've seen with great breakfast offerings and superb staff. And then there's the views!,Vancouver Airport,5.0,5,5,5.0,5.0,4.0,5.0,5.0,no
Air Canada,I'm surprised at people complaining about food in Maple Leaf lounge. Air Canada provides comfort food (soup cookies bagels) free drinks internet access a great selection of newspapers and magazines. The lounge in Vancouver has a stunning view of the North Shore mountains - lounge in Edmonton has a fireplace - lounge in Ottawa is glass on 3 sides. Admittedly the domestic lounge in Toronto is often crowded with slow check-in. The international lounge there is soaring.,Vancouver Airport,4.0,4,4,5.0,4.0,3.0,4.0,4.0,no
Air France,We flew Aeromexico Business class from JFK to Mexico City On March 2014. Since the Aeromexico and Air France have a SkyTeam alliance agreement we went to Air France’s Business Lounge in Terminal 1 at JFK. The lounge is small and clean and does offer relaxation time before boarding. One can sit in a deep cushion chair place food on the table or use the complimentary computers. Food offerings on March 19 2014 started with stale roast beef/cheese sandwiches that came from the deep freeze cheap corn chips and packaged cookies one can find in a Supermarket etc. Champagne and other alcoholic and soft drinks were available in ample quantity. The coffee was good and so strong.,New York JFK Airport,3.0,3,3,3.0,1.0,4.0,3.0,3.0,no
Air France,Noticed a small improvement in the food served here in this lounge I visit regularly. If you use this lounge after 7pm you might enjoy a light meal . Choices 10 days ago were a nice beef roulade salad and or grilled vegetables. Soup is also available usual cheese and cake for desert. Much better food then before in this lounge and more fun eating here then food served in airplanes at 1 am. Alcohol wines etc are excellent …If only Air France would see to it there would be some decent food all day long instead of having chocolate chip cookies from 1pm to 7pm this would be a further much appreciated improvement.,Paris CDG Airport,4.0,3,4,5.0,4.0,5.0,3.0,4.0,yes
Air France,Absolutely appalling. Dreadful food and tables covered with dirty plates and glasses that the non- existent staff have failed to remove. Quite the worst lounge I have ever been in.,Paris CDG Airport,2.0,2,1,2.0,1.0,2.0,3.0,1.0,no
Air Canada,Rather disappointed with the lack of breakfast choices when I used this lounge for an early morning flight. Bread butter muffin and a small bowl of fruit which emptied very quickly and took the attendants ages to top up. Coffee and tea only beverage choices with just 1 jug of orange on display. The Maple Leaf lounge had a rather' stingy' feel overall would not use it again.,Toronto Pearson Airport,2.0,3,3,2.0,2.0,3.0,0.0,2.0,no
Air Canada,Very pleasant lounge close to our departure gate. Food somewhat limited but my daughter enthused about the soup (only hot dish on offer). Seating comfortable and ranged from lounge chairs to dining with a good few recliners as well. Business services were excellent with swift internet access. Sadly only two showers for the whole of this busy lounge and you have to ask the reception staff to unlock them and then wait while they find a cleaner to re-stock and clear up after the last occupant!,Toronto Pearson Airport,3.0,4,4,4.0,2.0,1.0,5.0,4.0,no
Air Canada,This is one of the poorest lounges I have visited. The seats are worn food on offer consisted of a bowl of soup (in fairness very nice) and some cheese and very tired looking salad. There are no showers in this lounge which really surprised me. Not much of an advert for Air Canada at all. Staff were enthusiastic and pleasant.,Vancouver Airport,2.0,2,2,2.0,2.0,1.0,4.0,4.0,no
Air France,Had a five hour stopover between flights. No problems using this lounge for that length of time. Very spacious lounge with plenty of seating and tables for dining. Food provided was of the snack/light meal variety but was good quality. Champagne and wine available on a help your self basis. Toilet and shower facilities were excellent with really good shower lots of hot water at high pressure and good amenity pack provided. All in all an excellent oasis of calm in a very busy airport.,Paris CDG Airport,5.0,5,5,5.0,4.0,5.0,5.0,5.0,yes
Air France,2 very small elevators as stairs to get to this lounge which is not that easy to find but i know my way around cog terminal 2e gate L OR K. Lounge is small surely for the crowd that makes usage of this lounge. Lounge is dark and not clean . it was early morning so food choice was poor choice as usual in cog airport  croissant  pain au chocolate cereals and something a new a chocolate that has no chocolate taste. Coffee and espresso machine seems to be in need of repair as what i received from this coffee maker had no coffee taste . For those wanting boost early in the morning everything available as soft drinks . As usual af lounge leaves me wondering why do I bother.,Paris CDG Airport,3.0,2,2,4.0,2.0,4.0,2.0,4.0,no
Air France,Dreadful. Avoid this lounge if you can. Looks like a temporary facility. Food was dreadful staff were invisible as were the facilities.,Shanghai Pudong Airport,2.0,2,2,1.0,1.0,2.0,2.0,1.0,no
